source,identifier,name,item_id,tag,code,correspondence_table
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,市区町村名,1,PeninsulasDevelopmentImplementationArea,A18_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,原典市区町村名,1,PeninsulasDevelopmentImplementationArea,A18_007,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,旧市町村名,1,PeninsulasDevelopmentImplementationArea,A18_008,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,指定地域名,1,PeninsulasDevelopmentImplementationArea,A18_009,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,指定日,1,PeninsulasDevelopmentImplementationArea,A18_010,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,離島ID,0,RemoteIslandDevelopmentImplementationArea,A19_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,行政コード,0,RemoteIslandDevelopmentImplementationArea,A19_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,都道府県名,0,RemoteIslandDevelopmentImplementationArea,A19_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,支庁名,0,RemoteIslandDevelopmentImplementationArea,A19_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,郡・政令市名,0,RemoteIslandDevelopmentImplementationArea,A19_005,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,市区町村名,0,RemoteIslandDevelopmentImplementationArea,A19_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,指定地域名,0,RemoteIslandDevelopmentImplementationArea,A19_007,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,島嶼名,0,RemoteIslandDevelopmentImplementationArea,A19_008,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,離島区分コード,0,RemoteIslandDevelopmentImplementationArea,A19_009,RitoCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,指定日,0,RemoteIslandDevelopmentImplementationArea,A19_010,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,指定事由コード,0,RemoteIslandDevelopmentImplementationArea,A19_011,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,解除日,0,RemoteIslandDevelopmentImplementationArea,A19_012,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A19,解除事由コード,0,RemoteIslandDevelopmentImplementationArea,A19_013,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A20,奄美ID,0,AmamiIslands,A20_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A20,行政コード,0,AmamiIslands,A20_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A20,都道府県名,0,AmamiIslands,A20_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A20,支庁名,0,AmamiIslands,A20_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A20,郡・政令市名,0,AmamiIslands,A20_005,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A20,市区町村名,0,AmamiIslands,A20_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A20,島嶼名,0,AmamiIslands,A20_007,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A20,指定日,0,AmamiIslands,A20_008,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A21,小笠原ID,0,OgasawaraIslands,A21_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A21,行政コード,0,OgasawaraIslands,A21_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A21,都道府県名,0,OgasawaraIslands,A21_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A21,支庁名,0,OgasawaraIslands,A21_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A21,市区町村名,0,OgasawaraIslands,A21_005,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A21,島嶼名,0,OgasawaraIslands,A21_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A21,指定日,0,OgasawaraIslands,A21_007,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A22,豪雪地帯ID,0,HeavySnowfallArea,A22_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A22,行政コード,0,HeavySnowfallArea,A22_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A22,都道府県名,0,HeavySnowfallArea,A22_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A22,支庁名,0,HeavySnowfallArea,A22_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A22,郡・政令市名,0,HeavySnowfallArea,A22_005,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A22,市区町村名,0,HeavySnowfallArea,A22_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A22,豪雪区分コード,0,HeavySnowfallArea,A22_007,GosetsuCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A22,指定日,0,HeavySnowfallArea,A22_008,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A22,指定事由コード,0,HeavySnowfallArea,A22_009,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A22,解除日,0,HeavySnowfallArea,A22_010,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,観測点名,NA,NA,A22_000001,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,観測点の所在地,NA,NA,A22_000002,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,観測点の管理者,NA,NA,A22_000003,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,各年度別最深積雪（平均値）,NA,NA,A22_010001,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,各年度別最深積雪（最大値）,NA,NA,A22_010002,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,各年度別累計降雪量（平均値）,NA,NA,A22_020001,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,各年度別累計降雪量（最大値）,NA,NA,A22_020002,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,各年度別最低気温（平均値）,NA,NA,A22_030001,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,各年度別最低気温（最低値）,NA,NA,A22_030002,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,各年度別平均風速（平均値）,NA,NA,A22_040001,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,各年度別平均風速（最大値）,NA,NA,A22_040002,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,豪雪地帯ID,NA,NA,A22_100001,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,地域指定時の市区町村名,NA,NA,A22_100002,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,データ整備時の行政コード,NA,NA,A22_100003,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,集計単位となる団体名（雪害）,NA,NA,A22_100004,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,集計単位フラグ（雪害）,NA,NA,A22_100005,AggregateUnitFlag.html
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,集計単位フラグ（雪害）,NA,NA,A22_100005,AggregateUnitFlag.html
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,集計単位となる団体名（除雪ボランティア）,NA,NA,A22_100006,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,集計単位フラグ（雪害）,NA,NA,A22_100007,AggregateUnitFlag.html
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,集計単位フラグ（雪害）,NA,NA,A22_100007,AggregateUnitFlag.html
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,A22-m,利雪施設名,NA,NA,A22_40001,NA
