identifier,text,link_label,url_basename,url_fullname
N10,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
N10,コードリスト「緊急輸送道路区分コード」,緊急輸送道路区分コード,UrgentRoadCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/UrgentRoadCd.html
N10,コードリスト「道路種別コード」,道路種別コード,RoadCategoryCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/RoadCategoryCd.html
N11,コードリスト「航空法分類コード」,航空法分類コード,AviationActCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AviationActCd.html
N11,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
P02,コードリスト「公共施設大分類コード」,公共施設大分類コード,PubFacMaclassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMaclassCd.html
P02,コードリスト「公共施設小分類コード」,公共施設小分類コード,PubFacMiclassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMiclassCd.html
P02,コードリスト「公共施設管理者コード」,公共施設管理者コード,PubFacAdminCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacAdminCd.html
P03,コードリスト型「工事中コード」,工事中コード,underConstruction.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/underConstruction.html
P03,"コードリスト型
      火力原動力コード",火力原動力コード,ThermalPowerEngine.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/ThermalPowerEngine.html
P03,"コードリスト型
      炉型コード",炉型コード,FurnaceType.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/FurnaceType.html
P03,"コードリスト型
      バイオマス発電種別コード",バイオマス発電種別コード,BiomassType.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/BiomassType.html
P04,コードリスト「医療機関分類コード」,医療機関分類コード,MedClassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/MedClassCd.html
P04,コードリスト「開設者分類コード」,開設者分類コード,EstClassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/EstClassCd.html
P05,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
P05,コードリスト「施設分類コード」,施設分類コード,PubOfficeCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubOfficeCd.html
P07,コードリスト「燃料店舗分類コード」,燃料店舗分類コード,FuelStoreCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/FuelStoreCd.html
P11,コードリスト「バス区分コード」,バス区分コード,BusClassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/BusClassCd.html
P12,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
P12,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
P12,コードリスト「観光資源分類コード」,観光資源分類コード,tourismResourceCategoryCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/tourismResourceCategoryCd.html
P13,コードリスト「公園種別コード」,公園種別コード,CityParkCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/CityParkCd.html
P14,コードリスト「公共施設大分類コード」,公共施設大分類コード,PubFacMaclassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMaclassCd.html
P14,コードリスト「公共施設小分類コード」,公共施設小分類コード,PubFacMiclassCd_wf.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMiclassCd_wf.html
P14,コードリスト「福祉施設細分類コード」,福祉施設細分類コード,WelfareFacMiclassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/WelfareFacMiclassCd.html
P14,コードリスト「管理者コード」の第2.0版を参照,管理者コード,PubFacAdminCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacAdminCd.html
P15,コードリスト「施設種別コード」,施設種別コード,FacilitiesClassificationCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/FacilitiesClassificationCd.html
P16,数値型(Decimal)コードリスト「主体コードリスト」,主体コードリスト,ResearchInstitutionCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/ResearchInstitutionCd.html
P18,コードリスト「種別コード」,種別コード,PoliceStationCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PoliceStationCd.html
P19,コードリスト「類型コード」,類型コード,NaturalsceneCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/NaturalsceneCd.html
P19,コードリスト「自然景観資源分類コード」,自然景観資源分類コード,NaturalfeatureCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/NaturalfeatureCd.html
P26,コードリスト型「行政コード」 ,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
P26,コードリスト型「事業手法コード」 ,事業手法コード,BusinessTechCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/BusinessTechCd.html
P27,コードリスト型「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
P27,コードリスト型「公共施設大分類コード」 ,公共施設大分類コード,PubFacMaclassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMaclassCd.html
P27,コードリスト型「公共施設小分類コード」,公共施設小分類コード,PubFacMinclassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMinclassCd.html
P27,コードリスト型「文化施設分類コード」 ,文化施設分類コード,CultureFacCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/CultureFacCd.html
P27,コードリスト型「管理者コード」,管理者コード,AdminCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminCd.html
P28,コードリスト型「行政コード」 ,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
P28,コードリスト型「公共施設大分類コード」 ,公共施設大分類コード,PubFacMaclassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMaclassCd.html
P28,コードリスト型「公共施設小分類コード」 ,公共施設小分類コード,PubFacMinclassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PubFacMinclassCd.html
P28,コードリスト型「国・都道府県の機関分類コード」  ,国・都道府県の機関分類コード,FacClassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/FacClassCd.html
P28,コードリスト型「管理者コード」,管理者コード,AdminCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminCd.html
P29,コードリスト型「行政コード」 ,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
